,speed,Tsw,Tst,theta,Fundamental Frequency Hip 1,Fundamental Frequency Knee 1,Fundamental Frequency Hip 2,Fundamental Frequency Knee 2,Fundamental Frequency Hip 3,Fundamental Frequency Knee 3,Fundamental Frequency Hip 4,Fundamental Frequency Knee 4
688,3.564356435643564,20.0,485.0,15.0,1.9803458104250027,1.9801980198019802,1.9808116109740772,1.9801980198019802,1.9804834450011632,1.9806483824692447,1.9804247059761262,1.9801980198019802
696,3.529411764705882,20.0,490.0,15.0,1.96114809836738,1.9607843137254901,1.9613589880016336,1.9607843137254901,1.9608318274912149,1.9612000818169457,1.9610737638355942,1.9607843137254901
704,3.495145631067961,20.0,495.0,15.0,1.9421384257562304,1.941747572815534,1.9420755244396344,1.941747572815534,1.9417733619627082,1.942180613562096,1.942257242884052,1.941747572815534
712,3.4615384615384612,20.0,500.0,15.0,1.9232636154603766,1.9230769230769231,1.9232930473114924,1.9230769230769231,1.9233099178388535,1.9234768522175254,1.9236896030738648,1.9230769230769231
720,3.428571428571428,20.0,505.0,15.0,1.9047709746295918,1.9047619047619047,1.9051205377359255,1.9047619047619047,1.9051396365456121,1.9051786040603038,1.9052407828059417,1.9047619047619047
728,3.3962264150943393,20.0,510.0,15.0,1.886860864319775,1.8867924528301887,1.8873453392408401,1.8867924528301887,1.887137074831105,1.887199371987281,1.8870521364199448,1.8867924528301887
736,3.3644859813084107,20.0,515.0,15.0,1.869430907160661,1.8691588785046729,1.869765935097245,1.8691588785046729,1.8692901421159807,1.8695830788751604,1.8693734334961918,1.8691588785046729
744,3.3333333333333326,20.0,520.0,15.0,1.8522212193999252,1.8518518518518519,1.8522936315346432,1.8518518518518519,1.8518531091316734,1.85224383791056,1.8522245716978951,1.8518518518518519
752,3.302752293577981,20.0,525.0,15.0,1.8351802737997451,1.834862385321101,1.8351065384403908,1.834862385321101,1.8349445637978528,1.8352711598196956,1.8353984350389219,1.834862385321101
760,3.272727272727272,20.0,530.0,15.0,1.818299510511063,1.8181818181818181,1.818401792456125,1.8181818181818181,1.8184569498994054,1.8185596783299671,1.8187535945779536,1.8181818181818181
768,3.2432432432432425,20.0,535.0,15.0,1.8018029604939605,1.8018018018018018,1.8021745154321571,1.8018018018018018,1.8021622124264323,1.802195976813801,1.8022182565493405,1.8018018018018018
776,3.2142857142857135,20.0,540.0,15.0,1.7857891213371953,1.7857142857142858,1.7862476929493416,1.7857142857142858,1.7860323885551286,1.7861007979818877,1.7859498722661802,1.7857142857142858
784,3.185840707964601,20.0,545.0,15.0,1.7701614742606335,1.7699115044247788,1.7704931712159708,1.7699115044247788,1.7700448453709088,1.770314904745592,1.770112570815276,1.7699115044247788
792,3.1578947368421044,20.0,550.0,15.0,1.7547386478542055,1.7543859649122806,1.7548367925729298,1.7543859649122806,1.7543930727083632,1.7547590328927314,1.7547107964494408,1.7543859649122806
800,3.130434782608695,20.0,555.0,15.0,1.739468362023155,1.7391304347826086,1.7393989862442865,1.7391304347826086,1.7391713388952106,1.739519924255478,1.7396099221259314,1.7391304347826086
